Question,Answer,Conv_id
<question> Do you like dance?,"<ans> Yes, I do.",2
<question> Did you know Bruce Lee was a cha cha dancer?,"<ans> Yes, he even won a hardcore cha cha championship in 1958.",2
<question> Did you know Tupac was a ballet dancer?,"<ans> Yes, and he even was in the production of the nutcracker.",2
<question> Do ballet dancers go through a lot of shoes?,"<ans> Yes, they go through 4 pairs of shoes a week.",2
<question> Did you know babies are good at dancing?,"<ans> Yes, and they smile more when they hit the beat.",2
<question> Did Jackson have a patent on a dancing device?,"<ans> Yes, it helped him smooth out his dance moves.",2
<question> Do you like Shakespeare?,"<ans> Yes, I do.",2
<question> Did he popularize many phrases?,"<ans> Yes, like good riddance, in my heart of hearts, and such.",2
"<question> Did he invent names like Jessica, Olivia, and Miranda?","<ans> Yes, he did.",2
<question> How do his works have to be written?,<ans> His works have to be written in old English for it to make sense.,2
<question> Did he live at the same time as Pocahontas?,"<ans> Yes, he did.",2
<question> Did they meet?,"<ans> Yes, it would be interesting to know if they met.",2
<question> Do you think it's funny that Google employs goats to mow their lawn?,"<ans> Yeah, it's both funny and imaginative.",3
<question> What do you think is the coolest thing about fish?,<ans> I think the fact that some fish are immortal is pretty cool.,3
<question> Has anyone ever told you that you have a cat-like personality?,"<ans> No, but I think I might be a cat person after all.",3
<question> Can you believe there are stars that can be cold enough to be touched?,"<ans> Yes, the universe is so diverse and ever evolving.",8
<question> Why do you think cats spend a lot of their time sleeping?,<ans> Cats hear sounds too faint or too high frequency human ears can hear.,8
<question> What are some of the services provided by Google?,"<ans> Google provides online related services and products, which includes online ads, search engine, and cloud computing.",8
<question> Are you a Star Wars fan?,"<ans> Yes, I am a huge fan of Star Wars!</ans>",9
<question> Why do you think cats spend a lot of their time sleeping?,<ans> Cats hear the sounds too faint or too high frequency human ears can hear.</ans>,9
<question> What are some of the services provided by Google?,"<ans> Google provides online related services and products, which includes online ads, search engine and cloud computing.</ans>",9
<question> Can you tell me more about the immortal jellyfish?,"<ans> Lol...speaking of water animals, did you know that hiccoughs are a left over from evolution when we had gills?",10
<question> Why do you think fish are so important in modern society?,<ans> Fish are cool like that. I think it's neat that amphibians and reptiles and birds and mammals all had the same ancestry with fish.,10
<question> Have you heard of the Loch Ness monster?,"<ans> Yeah, and the Loch Ness monster is protected under the 1912 Scottish Animal Protection Act.",10
<question> Do you have a cat?,"<ans> No, I do not. I am actually allergic to cats.</ans>",13
<question> Why do you think cats spend a lot of their time sleeping?,<ans> Cats hear the sounds too faint or too high frequency human ears can hear.</ans>,13
