,Question,Answer,Conv_id,gen_ans,retrived_cov_ids
0,<question> Do you like dance?,"<ans> Yes, I do.",2," Yes, I like dance. Bruce Lee was a dancer too? Yes, that's cool. Ballet dancers go through a lot of shoes? Yeah, it seems like it.","5,61"
1,<question> Did you know Bruce Lee was a cha cha dancer?,"<ans> Yes, he even won a hardcore cha cha championship in 1958.",2," Bruce Lee was a cha cha dancer and won a championship in 1958. Yes, I like dance.","2,64"
2,<question> Did you know Tupac was a ballet dancer?,"<ans> Yes, and he even was in the production of the nutcracker.",2," Tupac was a ballet dancer? No, I didn't know that. ","64,2"
3,<question> Do ballet dancers go through a lot of shoes?,"<ans> Yes, they go through 4 pairs of shoes a week.",2," Yes, ballet dancers go through many shoes, often due to frequent wear and tear from their rigorous performances.","2,4"
4,<question> Did you know babies are good at dancing?,"<ans> Yes, and they smile more when they hit the beat.",2," Yes, babies are good at dancing. They spontaneously dance when they hear music and smile more when they hit the beat.","65,2"
5,<question> Did Jackson have a patent on a dancing device?,"<ans> Yes, it helped him smooth out his dance moves.",2," Yes, Michael Jackson had a patent on a device to assist with extreme lean in dance moves.","65,4"
6,<question> Do you like Shakespeare?,"<ans> Yes, I do.",2," Yes, I like Shakespeare. He popularized many phrases like ""good riddance"" and ""in my heart of hearts."" He also invented names like Jessica, Olivia, and Miranda. His works are in old English, which adds to their charm. He started a library with 32,000 books, including many of his personal collection. He was 85 when he carted the books by wheelbarrow over 3/4 mile. He coined many terms we use today, including ""good riddance,"" ""laughing stock,"" ""luck would have it,"" ""break the ice,"" and ""full circle."" He wrote 39 plays and created many names, including the ones he invented.","2,59"
7,<question> Did he popularize many phrases?,"<ans> Yes, like good riddance, in my heart of hearts, and such.",2," Yes, he popularized many phrases, including ""good riddance,"" ""in my heart of hearts,"" and ""laughing stock.""","2,59"
8,"<question> Did he invent names like Jessica, Olivia, and Miranda?","<ans> Yes, he did.",2," Yes, Shakespeare invented names like Jessica, Olivia, and Miranda.","58,5"
9,<question> How do his works have to be written?,<ans> His works have to be written in old English for it to make sense.,2,"

His works should be written imaginatively and creatively, as seen in his popular fiction works. However, the author of Game of Thrones discourages fan fiction as it can be seen as copyright infringement and not a good exercise for aspiring writers. The use of computers has also changed the relationship between the writer and their prose, making writing different than it was with old typewriters. Despite the challenges of writing, the author of The Raven still managed to make a name for himself, even with only earning $9 for the publication of that poem. Additionally, the author of Cyborg Fiction wrote about a black character in the 1950s, which was considered racist at the time and would have been banned from a science fiction comic.","40,38"
